sale_id,product_id,quantity,sale_date,sale_amount
233,2,1,2023-01-02,25.99
234,4,4,2023-01-31,63.96
235,2,4,2023-03-13,103.96
236,4,4,2023-03-24,63.96
237,1,3,2023-01-03,59.97
238,4,2,2023-01-29,31.98
239,3,4,2023-02-09,119.96
240,3,4,2023-03-12,119.96
241,3,3,2023-03-12,89.97
242,4,3,2023-03-31,47.97
243,3,2,2023-02-09,59.98
244,2,3,2023-01-16,77.97
245,2,2,2023-01-16,51.98
246,4,3,2023-01-28,47.97
247,3,1,2023-03-17,29.99
248,3,2,2023-01-25,59.98
249,2,3,2023-02-16,77.97
250,2,3,2023-01-02,77.97
251,1,5,2023-01-06,99.94999999999999
252,2,4,2023-02-07,103.96
253,1,5,2023-01-14,99.94999999999999
254,4,4,2023-02-06,63.96
255,3,2,2023-02-26,59.98
256,3,4,2023-01-07,119.96
257,1,4,2023-01-15,79.96
258,1,5,2023-03-04,99.94999999999999
259,1,2,2023-03-22,39.98
260,3,1,2023-01-20,29.99
261,1,5,2023-02-01,99.94999999999999
262,2,5,2023-02-23,129.95
263,4,4,2023-02-18,63.96
264,4,3,2023-02-08,47.97
265,1,5,2023-03-14,99.94999999999999
266,2,2,2023-01-13,51.98
267,1,2,2023-02-03,39.98
268,2,5,2023-01-31,129.95
269,2,1,2023-01-10,25.99
270,4,5,2023-02-22,79.95
271,3,1,2023-03-02,29.99
272,3,3,2023-01-30,89.97
273,4,1,2023-03-31,15.99
274,2,3,2023-03-29,77.97
275,2,4,2023-03-22,103.96
276,2,2,2023-01-15,51.98
277,2,1,2023-02-04,25.99
278,2,3,2023-01-08,77.97
279,3,4,2023-03-18,119.96
280,4,3,2023-01-16,47.97
281,4,3,2023-03-31,47.97
282,4,4,2023-03-06,63.96
283,1,4,2023-01-11,79.96
284,3,1,2023-02-11,29.99
285,2,5,2023-01-12,129.95
286,1,3,2023-03-17,59.97
287,1,2,2023-03-15,39.98
288,4,3,2023-03-02,47.97
289,4,4,2023-01-24,63.96
290,4,3,2023-01-12,47.97
291,3,3,2023-02-22,89.97
292,1,2,2023-03-27,39.98
293,4,4,2023-02-12,63.96
294,4,5,2023-02-06,79.95
295,4,1,2023-01-05,15.99
296,3,3,2023-02-10,89.97
297,4,5,2023-01-15,79.95
298,4,4,2023-01-01,63.96
299,2,5,2023-01-07,129.95
300,4,4,2023-02-16,63.96
301,2,3,2023-01-07,77.97
302,2,3,2023-03-12,77.97
303,4,1,2023-02-26,15.99
304,2,2,2023-01-04,51.98
305,1,5,2023-02-09,99.94999999999999
306,1,2,2023-02-22,39.98
307,4,1,2023-01-15,15.99
308,2,4,2023-03-24,103.96
309,3,4,2023-02-07,119.96
310,4,2,2023-03-03,31.98
311,2,4,2023-02-28,103.96
312,2,1,2023-01-25,25.99
313,4,3,2023-02-05,47.97
314,3,1,2023-03-06,29.99
315,3,5,2023-02-06,149.95
316,4,2,2023-03-16,31.98
317,4,3,2023-02-27,47.97
318,4,4,2023-02-12,63.96
319,2,2,2023-02-11,51.98
320,4,2,2023-03-15,31.98
321,1,3,2023-02-22,59.97
322,4,4,2023-03-02,63.96
323,2,4,2023-03-26,103.96
324,2,5,2023-01-05,129.95
325,3,1,2023-03-17,29.99
326,1,5,2023-02-26,99.94999999999999
327,1,2,2023-02-28,39.98
328,2,1,2023-02-22,25.99
329,3,3,2023-03-02,89.97
330,4,1,2023-03-21,15.99
331,4,3,2023-02-12,47.97
332,4,5,2023-03-22,79.95
333,1,2,2023-01-05,39.98
334,3,2,2023-03-22,59.98
335,4,1,2023-01-12,15.99
336,1,4,2023-03-23,79.96
337,3,1,2023-01-22,29.99
338,3,1,2023-01-06,29.99
339,3,3,2023-02-07,89.97
340,2,2,2023-02-25,51.98
341,4,5,2023-03-09,79.95
342,2,2,2023-03-29,51.98
343,1,5,2023-01-23,99.94999999999999
344,2,4,2023-02-18,103.96
345,2,2,2023-03-16,51.98
346,3,4,2023-03-01,119.96
347,1,4,2023-02-02,79.96
348,2,1,2023-02-06,25.99
349,3,5,2023-02-26,149.95
350,4,3,2023-02-08,47.97
351,3,2,2023-02-28,59.98
352,4,1,2023-02-19,15.99
353,4,5,2023-01-31,79.95
354,3,3,2023-02-15,89.97
355,4,3,2023-01-03,47.97
356,1,5,2023-01-02,99.94999999999999
357,3,2,2023-03-05,59.98
358,3,2,2023-03-19,59.98
359,2,5,2023-03-23,129.95
360,2,1,2023-02-02,25.99
361,1,3,2023-03-22,59.97
362,1,5,2023-02-26,99.94999999999999
363,2,1,2023-02-16,25.99
364,3,4,2023-02-07,119.96
365,2,2,2023-01-23,51.98
366,3,5,2023-03-11,149.95
367,3,2,2023-03-06,59.98
368,4,3,2023-02-02,47.97
369,1,4,2023-02-13,79.96
370,2,2,2023-01-10,51.98
371,4,5,2023-03-28,79.95
372,1,4,2023-02-16,79.96
373,3,5,2023-01-02,149.95
374,4,3,2023-01-16,47.97
375,3,5,2023-03-28,149.95
376,3,1,2023-02-18,29.99
377,2,4,2023-03-28,103.96
378,3,5,2023-01-04,149.95
379,1,4,2023-01-29,79.96
380,3,4,2023-03-31,119.96
381,2,1,2023-01-15,25.99
382,3,4,2023-01-05,119.96
383,1,2,2023-01-15,39.98
384,2,4,2023-03-10,103.96
385,3,5,2023-02-28,149.95
386,2,4,2023-02-23,103.96
387,1,4,2023-03-25,79.96
388,4,3,2023-03-20,47.97
389,3,2,2023-01-05,59.98
390,4,2,2023-02-26,31.98
391,1,3,2023-02-16,59.97
392,3,1,2023-03-11,29.99
393,3,2,2023-02-20,59.98
394,4,1,2023-01-16,15.99
395,2,5,2023-03-26,129.95
396,1,3,2023-01-03,59.97
397,2,5,2023-02-01,129.95
398,1,5,2023-01-27,99.94999999999999
399,2,2,2023-01-27,51.98
400,2,5,2023-02-12,129.95
401,3,2,2023-01-01,59.98
402,3,2,2023-01-17,59.98
403,1,2,2023-01-15,39.98
404,3,2,2023-01-02,59.98
405,3,1,2023-03-17,29.99
406,3,1,2023-01-23,29.99
407,4,5,2023-01-17,79.95
408,1,4,2023-01-15,79.96
409,3,5,2023-02-27,149.95
410,1,4,2023-03-17,79.96
411,2,5,2023-03-06,129.95
412,3,4,2023-01-06,119.96
413,1,1,2023-03-24,19.99
414,4,4,2023-03-03,63.96
415,1,4,2023-03-29,79.96
416,1,1,2023-02-26,19.99
417,2,1,2023-02-11,25.99
418,3,5,2023-01-17,149.95
419,3,4,2023-03-23,119.96
420,3,4,2023-03-18,119.96
421,4,1,2023-03-06,15.99
422,1,5,2023-03-31,99.94999999999999
423,4,4,2023-01-28,63.96
424,4,3,2023-01-30,47.97
425,4,4,2023-02-28,63.96
426,3,4,2023-01-13,119.96
427,3,3,2023-02-10,89.97
428,4,1,2023-01-20,15.99
429,1,1,2023-01-12,19.99
430,1,3,2023-02-25,59.97
431,1,5,2023-01-17,99.94999999999999
432,3,1,2023-03-13,29.99
433,3,4,2023-02-22,119.96
434,3,5,2023-01-07,149.95
435,3,1,2023-02-09,29.99
436,2,2,2023-03-15,51.98
437,4,2,2023-03-26,31.98
438,3,5,2023-01-14,149.95
439,1,3,2023-02-17,59.97
440,2,4,2023-03-15,103.96
441,1,5,2023-03-13,99.94999999999999
442,3,1,2023-03-26,29.99
443,3,3,2023-01-24,89.97
444,3,1,2023-02-13,29.99
445,2,5,2023-01-24,129.95
446,4,1,2023-03-26,15.99
447,1,1,2023-01-19,19.99
448,2,4,2023-03-09,103.96
449,4,3,2023-02-23,47.97
450,3,3,2023-01-21,89.97
451,1,1,2023-02-11,19.99
452,2,5,2023-01-20,129.95
453,1,3,2023-01-07,59.97
454,4,4,2023-02-26,63.96
455,4,4,2023-03-19,63.96
456,2,5,2023-02-04,129.95
457,3,4,2023-01-15,119.96
458,3,5,2023-01-15,149.95
459,3,1,2023-03-04,29.99
460,4,5,2023-01-29,79.95
461,1,2,2023-01-08,39.98
462,2,2,2023-02-08,51.98
463,3,3,2023-02-02,89.97
464,1,4,2023-01-16,79.96
465,2,2,2023-02-25,51.98
466,2,5,2023-02-18,129.95
467,3,1,2023-03-13,29.99
468,1,4,2023-02-20,79.96
469,4,1,2023-01-03,15.99
470,4,5,2023-02-10,79.95
471,4,3,2023-02-21,47.97
472,4,1,2023-01-15,15.99
473,2,5,2023-02-11,129.95
474,3,1,2023-02-28,29.99
475,1,2,2023-02-25,39.98
476,4,5,2023-02-25,79.95
477,4,3,2023-01-11,47.97
478,2,3,2023-02-13,77.97
479,1,5,2023-01-22,99.94999999999999
480,1,5,2023-03-23,99.94999999999999
481,2,3,2023-03-07,77.97
482,2,2,2023-02-14,51.98
483,2,3,2023-01-14,77.97
484,2,5,2023-01-26,129.95
485,1,2,2023-01-20,39.98
486,4,4,2023-03-22,63.96
487,4,5,2023-03-14,79.95
488,3,3,2023-03-24,89.97
489,4,1,2023-01-20,15.99
490,4,3,2023-03-02,47.97
491,1,3,2023-02-05,59.97
492,1,3,2023-03-06,59.97
493,4,1,2023-03-01,15.99
494,3,3,2023-01-08,89.97
495,1,5,2023-01-10,99.94999999999999
496,4,4,2023-03-18,63.96
497,1,4,2023-03-16,79.96
498,2,3,2023-03-15,77.97
499,4,5,2023-03-19,79.95
500,1,4,2023-01-20,79.96
